sec_code,company_name,as_of,source_url
3697,SHIFT INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4307,"NOMURA RESEARCH INSTITUTE, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4324,DENTSU GROUP INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4385,"MERCARI, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4661,"ORIENTAL LAND CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4689,LY CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4704,TREND MICRO INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4751,"CYBERAGENT, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4755,"RAKUTEN GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6098,"RECRUIT HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6178,"JAPAN POST HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
6532,"BAYCURRENT, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7974,"NINTENDO CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9602,"TOHO CO., LTD",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9735,"SECOM CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9766,KONAMI GROUP CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1605,INPEX CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3401,TEIJIN LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3402,"TORAY INDUSTRIES, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3861,OJI HOLDINGS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3405,"KURARAY CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3407,ASAHI KASEI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4004,RESONAC HOLDINGS CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4005,"SUMITOMO CHEMICAL CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
4021,NISSAN CHEMICAL CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
